Steps,Bet,Reward,Points,Average
1,2,2,1000,2.0
2,32,0,968,1.0
3,2,0,966,0.6666666666666666
4,2,0,964,0.5
5,4,0,960,0.4
6,32,0,928,0.3333333333333333
7,2,0,926,0.2857142857142857
8,64,64,926,8.25
9,16,0,910,7.333333333333333
10,2,0,908,6.6
11,32,128,1004,17.636363636363637
12,8,0,996,16.166666666666668
13,1,0,995,14.923076923076923
14,64,128,1059,23.0
15,16,0,1043,21.466666666666665
16,2,4,1045,20.375
17,1,1,1045,19.235294117647058
18,32,0,1013,18.166666666666668
19,32,0,981,17.210526315789473
20,2,2,981,16.45
21,32,0,949,15.666666666666666
22,1,0,948,14.954545454545455
23,16,0,932,14.304347826086957
24,64,256,1124,24.375
25,8,8,1124,23.72
26,32,64,1156,25.26923076923077
27,32,0,1124,24.333333333333332
28,8,0,1116,23.464285714285715
29,4,8,1120,22.93103448275862
30,4,0,1116,22.166666666666668
31,1,0,1115,21.451612903225808
32,2,0,1113,20.78125
33,16,0,1097,20.151515151515152
34,32,64,1129,21.441176470588236
35,4,4,1129,20.942857142857143
36,1,0,1128,20.36111111111111
37,2,0,1126,19.81081081081081
38,2,0,1124,19.289473684210527
39,2,0,1122,18.794871794871796
40,4,0,1118,18.325
41,8,8,1118,18.073170731707318
42,2,0,1116,17.642857142857142
43,16,0,1100,17.232558139534884
44,1,1,1100,16.863636363636363
45,4,0,1096,16.488888888888887
46,1,0,1095,16.130434782608695
47,64,256,1287,21.23404255319149
48,2,8,1293,20.958333333333332
49,16,32,1309,21.183673469387756
50,4,4,1309,20.84
51,1,0,1308,20.431372549019606
52,8,16,1316,20.346153846153847
53,64,0,1252,19.962264150943398
54,16,0,1236,19.59259259259259
55,1,0,1235,19.236363636363638
56,1,0,1234,18.892857142857142
57,1,4,1237,18.63157894736842
58,8,0,1229,18.310344827586206
59,32,0,1197,18.0
60,8,0,1189,17.7
61,64,64,1189,18.459016393442624
62,32,32,1189,18.677419354838708
63,8,8,1189,18.50793650793651
64,16,64,1237,19.21875
65,64,128,1301,20.892307692307693
66,1,4,1304,20.636363636363637
67,8,0,1296,20.328358208955223
68,2,0,1294,20.029411764705884
69,32,0,1262,19.73913043478261
70,64,128,1326,21.285714285714285
71,4,40,1362,21.549295774647888
72,32,0,1330,21.25
