Step,Action,Reward,Q[action],Average action reward,Average general reward
0,0,1.3052,1.3052,1.3052,1.3052
1,5,-1.1864,-1.1864,-1.1864,0.0594
2,0,0.7529,1.0290,1.0290,0.2906
3,0,2.0914,1.3832,1.3832,0.7408
4,0,2.4172,1.6417,1.6417,1.0761
5,0,1.3886,1.5911,1.5911,1.1282
6,0,2.9786,1.8223,1.8223,1.3925
7,0,2.1083,1.8632,1.8632,1.4820
8,0,3.6083,2.0813,2.0813,1.7182
9,0,1.2750,1.9917,1.9917,1.6739
10,0,1.9933,1.9919,1.9919,1.7029
11,0,3.1825,2.1001,2.1001,1.8262
12,0,1.6940,2.0663,2.0663,1.8161
13,9,-1.7883,-1.7883,-1.7883,1.5586
14,8,-0.4927,-0.4927,-0.4927,1.4219
15,6,1.8428,1.8428,1.8428,1.4482
16,0,2.8315,2.1251,2.1251,1.5295
17,0,2.3895,2.1440,2.1440,1.5773
18,0,1.4981,2.1010,2.1010,1.5732
19,0,3.0554,2.1606,2.1606,1.6473
20,0,3.1994,2.2217,2.2217,1.7212
21,0,1.1156,2.1603,2.1603,1.6937
22,0,1.3286,2.1165,2.1165,1.6778
23,4,-1.1625,-1.1625,-1.1625,1.5594
24,0,2.0982,2.1156,2.1156,1.5810
25,9,-1.6731,-1.7307,-1.7307,1.4558
26,0,2.5471,2.1361,2.1361,1.4962
27,0,3.9835,2.2201,2.2201,1.5851
28,9,0.5947,-0.9555,-0.9555,1.5509
29,2,1.5328,1.5328,1.5328,1.5503
30,7,-1.3748,-1.3748,-1.3748,1.4560
31,0,2.8201,2.2462,2.2462,1.4986
32,0,1.6486,2.2213,2.2213,1.5031
33,0,3.0846,2.2558,2.2558,1.5497
34,0,0.7563,2.1981,2.1981,1.5270
35,0,2.2496,2.2001,2.2001,1.5471
36,0,3.2821,2.2387,2.2387,1.5940
37,0,2.5766,2.2503,2.2503,1.6198
38,0,2.8629,2.2708,2.2708,1.6517
39,0,1.8974,2.2587,2.2587,1.6578
40,0,2.8420,2.2770,2.2770,1.6867
41,0,0.6345,2.2272,2.2272,1.6617
42,0,2.7641,2.2430,2.2430,1.6873
43,0,2.5694,2.2523,2.2523,1.7073
44,0,3.6053,2.2899,2.2899,1.7495
45,0,2.1924,2.2872,2.2872,1.7591
46,0,3.1277,2.3094,2.3094,1.7883
47,0,0.3612,2.2594,2.2594,1.7585
48,4,-0.0636,-0.6130,-0.6130,1.7213
49,0,1.6451,2.2441,2.2441,1.7198
50,0,0.4962,2.2014,2.2014,1.6958
51,0,2.1155,2.1994,2.1994,1.7039
52,5,-0.9091,-1.0478,-1.0478,1.6546
53,0,2.9652,2.2172,2.2172,1.6789
54,0,1.2003,2.1941,2.1941,1.6702
55,0,3.9431,2.2329,2.2329,1.7108
56,0,1.3979,2.2148,2.2148,1.7053
57,0,1.0807,2.1907,2.1907,1.6945
58,0,0.6821,2.1592,2.1592,1.6773
59,1,-0.3877,-0.3877,-0.3877,1.6429
60,0,1.6786,2.1494,2.1494,1.6435
61,0,1.3951,2.1343,2.1343,1.6395
62,0,3.4351,2.1598,2.1598,1.6680
63,2,2.3095,1.9212,1.9212,1.6780
64,0,3.6162,2.1878,2.1878,1.7078
65,0,1.0158,2.1657,2.1657,1.6974
66,0,2.2021,2.1664,2.1664,1.7049
67,0,1.5647,2.1555,2.1555,1.7028
68,0,2.4103,2.1600,2.1600,1.7131
69,0,1.2811,2.1446,2.1446,1.7069
70,0,1.2263,2.1288,2.1288,1.7001
71,0,2.4417,2.1341,2.1341,1.7104
72,0,2.6451,2.1426,2.1426,1.7232
73,6,0.5444,1.1936,1.1936,1.7073
74,0,0.3328,2.1129,2.1129,1.6890
75,3,-1.4352,-1.4352,-1.4352,1.6479
76,0,2.7976,2.1240,2.1240,1.6628
77,0,2.7277,2.1335,2.1335,1.6765
78,0,2.1781,2.1342,2.1342,1.6828
79,0,2.1789,2.1349,2.1349,1.6890
80,0,4.2841,2.1675,2.1675,1.7211
81,5,0.1682,-0.6424,-0.6424,1.7021
82,4,-1.2550,-0.8270,-0.8270,1.6665
83,0,4.3599,2.2002,2.2002,1.6986
84,0,4.7387,2.2375,2.2375,1.7343
85,0,0.6150,2.2140,2.2140,1.7213
86,0,2.4170,2.2169,2.2169,1.7293
87,7,1.5325,0.0788,0.0788,1.7271
88,0,2.2889,2.2179,2.2179,1.7334
89,0,2.5268,2.2222,2.2222,1.7422
90,0,2.1416,2.2211,2.2211,1.7466
91,0,2.2901,2.2221,2.2221,1.7525
92,0,3.9452,2.2450,2.2450,1.7761
93,0,1.9696,2.2414,2.2414,1.7781
94,0,1.5170,2.2320,2.2320,1.7754
95,0,2.2843,2.2327,2.2327,1.7807
96,0,3.4915,2.2486,2.2486,1.7983
97,0,2.1902,2.2479,2.2479,1.8023
98,0,0.2799,2.2236,2.2236,1.7869
99,0,4.9242,2.2565,2.2565,1.8183
100,0,1.7626,2.2506,2.2506,1.8178
101,0,2.4126,2.2525,2.2525,1.8236
102,0,1.2202,2.2403,2.2403,1.8177
103,0,1.7889,2.2351,2.2351,1.8175
104,0,1.1224,2.2223,2.2223,1.8108
105,0,3.2134,2.2336,2.2336,1.8241
106,3,0.2987,-0.5683,-0.5683,1.8098
107,0,2.3235,2.2346,2.2346,1.8146
108,0,4.0833,2.2551,2.2551,1.8354
109,0,2.2756,2.2553,2.2553,1.8394
110,0,3.9641,2.2739,2.2739,1.8585
111,0,5.4216,2.3078,2.3078,1.8903
112,0,2.1934,2.3066,2.3066,1.8930
113,0,1.3893,2.2969,2.2969,1.8886
114,0,0.4940,2.2781,2.2781,1.8765
115,0,2.3963,2.2793,2.2793,1.8810
116,0,2.0232,2.2767,2.2767,1.8822
117,0,1.7106,2.2710,2.2710,1.8807
118,1,1.2276,0.4199,0.4199,1.8752
119,0,0.9882,2.2582,2.2582,1.8678
120,0,2.6236,2.2618,2.2618,1.8741
121,0,3.0454,2.2695,2.2695,1.8837
122,0,3.0669,2.2772,2.2772,1.8933
123,0,1.3543,2.2683,2.2683,1.8890
124,0,2.6333,2.2718,2.2718,1.8949
125,0,2.5177,2.2741,2.2741,1.8999
126,1,-0.0860,0.2513,0.2513,1.8842
127,0,1.1147,2.2633,2.2633,1.8782
128,0,2.1554,2.2623,2.2623,1.8804
129,0,3.2227,2.2711,2.2711,1.8907
130,0,3.8153,2.2852,2.2852,1.9054
131,0,2.8793,2.2905,2.2905,1.9127
132,0,0.5842,2.2753,2.2753,1.9028
133,0,2.7778,2.2797,2.2797,1.9093
134,0,1.4327,2.2723,2.2723,1.9058
135,0,1.5317,2.2658,2.2658,1.9030
136,0,0.1025,2.2472,2.2472,1.8899
137,0,3.2115,2.2554,2.2554,1.8994
138,9,-0.1263,-0.7482,-0.7482,1.8849
139,0,2.0227,2.2535,2.2535,1.8859
140,0,3.4586,2.2636,2.2636,1.8970
141,0,3.7734,2.2762,2.2762,1.9102
142,0,1.2880,2.2680,2.2680,1.9059
143,0,1.3424,2.2604,2.2604,1.9020
144,8,-0.7992,-0.6459,-0.6459,1.8833
145,0,3.9979,2.2745,2.2745,1.8978
146,0,2.7288,2.2782,2.2782,1.9035
147,0,2.8170,2.2825,2.2825,1.9096
148,2,1.4293,1.7572,1.7572,1.9064
149,0,1.9073,2.2795,2.2795,1.9064
150,0,3.0154,2.2853,2.2853,1.9138
151,0,2.2296,2.2849,2.2849,1.9158
152,1,-0.4754,0.0696,0.0696,1.9002
153,0,1.7985,2.2811,2.2811,1.8996
154,0,2.9550,2.2863,2.2863,1.9064
155,0,3.0053,2.2918,2.2918,1.9134
156,0,2.5700,2.2939,2.2939,1.9176
157,0,3.0628,2.2997,2.2997,1.9248
158,3,1.2729,0.0455,0.0455,1.9207
159,0,1.4301,2.2932,2.2932,1.9177
160,0,1.2848,2.2857,2.2857,1.9137
161,0,0.9355,2.2758,2.2758,1.9077
162,0,1.2485,2.2683,2.2683,1.9037
163,0,2.9715,2.2734,2.2734,1.9102
164,0,3.4021,2.2815,2.2815,1.9192
165,0,2.1276,2.2804,2.2804,1.9205
166,0,1.3254,2.2737,2.2737,1.9169
167,5,-0.0073,-0.4837,-0.4837,1.9055
168,0,2.3258,2.2740,2.2740,1.9079
169,0,0.9197,2.2645,2.2645,1.9021
170,8,-0.6790,-0.6569,-0.6569,1.8870
171,0,1.5602,2.2597,2.2597,1.8851
172,0,3.9675,2.2714,2.2714,1.8972
173,0,0.6912,2.2606,2.2606,1.8902
174,0,1.9367,2.2584,2.2584,1.8905
175,0,2.0849,2.2572,2.2572,1.8916
176,0,2.5963,2.2595,2.2595,1.8956
177,0,3.1001,2.2651,2.2651,1.9024
178,0,2.2478,2.2650,2.2650,1.9043
179,0,1.3934,2.2593,2.2593,1.9014
180,0,1.9224,2.2571,2.2571,1.9016
181,0,2.0882,2.2560,2.2560,1.9026
182,0,3.4102,2.2634,2.2634,1.9108
183,0,3.2267,2.2696,2.2696,1.9180
184,9,-1.4479,-0.8882,-0.8882,1.8998
185,0,2.2656,2.2696,2.2696,1.9018
186,2,3.1009,2.0931,2.0931,1.9082
187,0,-0.0279,2.2550,2.2550,1.8979
188,0,2.1703,2.2545,2.2545,1.8993
189,0,1.0067,2.2467,2.2467,1.8946
190,0,2.8350,2.2503,2.2503,1.8995
191,0,2.0755,2.2493,2.2493,1.9004
192,9,1.1300,-0.5518,-0.5518,1.8965
193,0,3.7679,2.2586,2.2586,1.9061
194,1,-2.7149,-0.4873,-0.4873,1.8824
195,0,2.6513,2.2610,2.2610,1.8863
196,0,2.5419,2.2627,2.2627,1.8897
197,0,2.6576,2.2651,2.2651,1.8935
198,8,0.4676,-0.3758,-0.3758,1.8864
199,9,-2.8105,-0.8745,-0.8745,1.8629
200,7,0.1061,0.0879,0.0879,1.8541
201,0,2.3917,2.2658,2.2658,1.8568
202,0,2.5486,2.2675,2.2675,1.8602
203,0,0.7623,2.2586,2.2586,1.8548
204,3,1.5834,0.4300,0.4300,1.8535
205,0,2.1292,2.2578,2.2578,1.8548
206,0,0.1401,2.2454,2.2454,1.8466
207,3,0.8454,0.5130,0.5130,1.8417
208,0,1.0640,2.2386,2.2386,1.8380
209,0,2.0059,2.2372,2.2372,1.8388
210,5,0.9231,-0.2023,-0.2023,1.8345
211,0,3.0728,2.2420,2.2420,1.8403
212,0,3.4393,2.2489,2.2489,1.8478
213,0,1.6615,2.2455,2.2455,1.8470
214,0,1.7927,2.2430,2.2430,1.8467
215,0,1.2887,2.2376,2.2376,1.8441
216,0,1.0486,2.2310,2.2310,1.8405
217,0,1.7212,2.2281,2.2281,1.8399
218,0,2.5014,2.2297,2.2297,1.8429
219,0,2.0847,2.2289,2.2289,1.8440
220,9,0.4783,-0.7054,-0.7054,1.8379
221,0,2.1220,2.2283,2.2283,1.8391
222,0,3.5821,2.2356,2.2356,1.8470
223,0,1.2578,2.2303,2.2303,1.8443
224,0,2.4132,2.2313,2.2313,1.8468
225,0,3.6316,2.2388,2.2388,1.8547
226,0,3.1946,2.2439,2.2439,1.8606
227,8,-1.4422,-0.5891,-0.5891,1.8462
228,6,1.3099,1.2324,1.2324,1.8438
229,0,3.5382,2.2508,2.2508,1.8512
230,0,1.4263,2.2464,2.2464,1.8493
231,0,3.2208,2.2515,2.2515,1.8553
232,0,2.1056,2.2508,2.2508,1.8563
233,0,1.6528,2.2477,2.2477,1.8555
234,0,0.9504,2.2410,2.2410,1.8516
235,5,1.7249,0.1189,0.1189,1.8511
236,0,0.9564,2.2344,2.2344,1.8473
237,0,1.3465,2.2299,2.2299,1.8452
238,0,1.2934,2.2251,2.2251,1.8429
239,0,2.2259,2.2251,2.2251,1.8445
240,8,-1.9452,-0.8151,-0.8151,1.8288
241,0,3.8147,2.2331,2.2331,1.8370
242,0,2.3208,2.2335,2.2335,1.8390
243,0,1.6768,2.2308,2.2308,1.8383
244,0,3.2540,2.2358,2.2358,1.8441
245,2,2.1969,2.1139,2.1139,1.8455
246,0,1.8799,2.2341,2.2341,1.8456
247,0,2.0643,2.2332,2.2332,1.8465
248,0,1.2353,2.2284,2.2284,1.8441
249,0,2.1612,2.2280,2.2280,1.8453
250,0,2.2483,2.2281,2.2281,1.8469
251,9,0.6625,-0.5534,-0.5534,1.8422
252,0,3.7448,2.2354,2.2354,1.8498
253,2,1.2826,1.9754,1.9754,1.8475
254,0,2.6392,2.2374,2.2374,1.8506
255,0,2.5746,2.2390,2.2390,1.8535
256,0,1.6297,2.2361,2.2361,1.8526
257,0,1.2391,2.2314,2.2314,1.8502
258,0,0.5488,2.2235,2.2235,1.8452
259,0,3.2741,2.2284,2.2284,1.8507
260,0,1.6777,2.2258,2.2258,1.8500
261,0,2.4001,2.2266,2.2266,1.8521
